symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,option_strategy,option_reason,option_confidence,option_contract,option_type,option_strike,option_expiration,option_dte,option_entry,option_stop_loss,option_take_profit,option_bid,option_ask,option_last_price,option_volume,option_open_interest,option_contract_score,contracts,risk_amount,potential_profit,risk_reward,trade_allowed,account_size,risk_percent,max_risk_allowed,risk_per_share,risk_per_contract,cost_per_contract,option_price_used,trade_plan,ai_analysis,score_reasons
SMH,576.3200073242188,UP,HOLD,MEDIUM,33,DESCARTAR,True,PULLBACK CALL,,12.1,25.93,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,519.0,1729.0,17.29,Trade bloqueado: riesgo por contrato $519.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI aceptable, Entrada confirmada, Trade no permitido por gestion de riesgo"
AVGO,414.1400146484375,UP,HOLD,MEDIUM,25,DESCARTAR,True,PULLBACK CALL,,8.69,18.63,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,373.0,1242.0,12.42,Trade bloqueado: riesgo por contrato $373.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Entrada confirmada, Trade no permitido por gestion de riesgo"
SNOW,172.1999969482422,UP,HOLD,MEDIUM,22,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, MACD alcista, Trade no permitido por gestion de riesgo"
CRM,180.07000732421875,DOWN,HOLD,MEDIUM,12,DESCARTAR,False,NONE,,3.78,8.1,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, MACD alcista, Trade no permitido por gestion de riesgo"
AMZN,266.32000732421875,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,5.59,11.98,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
AMD,467.510009765625,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
QQQ,717.5399780273438,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
SPY,745.6400146484375,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,2,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista, Trade no permitido por gestion de riesgo"
SHOP,103.0,DOWN,HOLD,MEDIUM,0,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, Trade no permitido por gestion de riesgo"
